clip_id,action
video63_0235.webm,raid
video63_0236.webm,tackle
video63_0237.webm,bonus
video63_0238.webm,out
video63_0239.webm,idle
video63_0240.webm,raid
video63_0241.webm,tackle
video63_0242.webm,bonus
video63_0243.webm,out
video63_0244.webm,idle
video63_0245.webm,raid
video63_0246.webm,tackle
video63_0247.webm,bonus
video63_0248.webm,out
video63_0249.webm,idle
video63_0250.webm,raid
video63_0251.webm,tackle
video63_0252.webm,bonus
video63_0253.webm,out
video63_0254.webm,idle
video63_0255.webm,raid
video63_0256.webm,tackle
video63_0257.webm,bonus
video63_0258.webm,out
video63_0235.webm,idle
video63_0236.webm,raid
video63_0237.webm,tackle
video63_0238.webm,bonus
video63_0239.webm,out
video63_0240.webm,idle
video63_0241.webm,raid
video63_0242.webm,tackle
video63_0243.webm,bonus
video63_0244.webm,out
video63_0245.webm,idle
video63_0246.webm,raid
video63_0247.webm,tackle
video63_0248.webm,bonus
video63_0249.webm,out
video63_0250.webm,idle
video63_0251.webm,raid
video63_0252.webm,tackle
video63_0253.webm,bonus
video63_0254.webm,out
video63_0255.webm,idle
video63_0256.webm,raid
video63_0257.webm,tackle
video63_0258.webm,bonus
video63_0259.webm,out
video63_0260.webm,idle
video63_0261.webm,raid
video63_0262.webm,tackle
video63_0263.webm,bonus
video63_0264.webm,out
video63_0265.webm,idle
video64_0000.webm,raid
video64_0001.webm,tackle
video64_0002.webm,bonus
video64_0003.webm,out
video64_0004.webm,idle
video64_0005.webm,raid
video64_0006.webm,tackle
video64_0007.webm,bonus
video64_0008.webm,out
video64_0009.webm,idle
video64_0010.webm,raid
video64_0011.webm,tackle
video64_0012.webm,bonus
video64_0013.webm,out
video64_0014.webm,idle
video64_0015.webm,raid
video64_0016.webm,tackle
video64_0017.webm,bonus
video64_0018.webm,out
video64_0019.webm,idle
video64_0020.webm,raid
video64_0021.webm,tackle
video64_0022.webm,bonus
video64_0023.webm,out
video64_0024.webm,idle
video64_0025.webm,raid
video64_0026.webm,tackle
video64_0027.webm,bonus
video64_0028.webm,out
video64_0029.webm,idle
video64_0030.webm,raid
video64_0031.webm,tackle
video64_0032.webm,bonus
video64_0033.webm,out
video64_0034.webm,idle
video64_0035.webm,raid
video64_0036.webm,tackle
video64_0037.webm,bonus
video64_0038.webm,out
video64_0039.webm,idle
video64_0040.webm,raid
video64_0041.webm,tackle
video64_0042.webm,bonus
video64_0043.webm,out
video64_0044.webm,idle
video64_0045.webm,raid
video64_0046.webm,tackle
video64_0047.webm,bonus
video64_0048.webm,out
video64_0049.webm,idle
video64_0050.webm,raid
video64_0051.webm,tackle
video64_0052.webm,bonus
video64_0053.webm,out
video64_0054.webm,idle
video64_0055.webm,raid
video64_0056.webm,tackle
video64_0057.webm,bonus
video64_0058.webm,out
video64_0059.webm,idle
video64_0060.webm,raid
video64_0061.webm,tackle
video64_0062.webm,bonus
video64_0063.webm,out
video64_0064.webm,idle
video64_0065.webm,raid
video64_0066.webm,tackle
video64_0067.webm,bonus
video64_0068.webm,out
video64_0069.webm,idle
video64_0070.webm,raid
video64_0071.webm,tackle
video64_0072.webm,bonus
video65_0000.webm,out
video65_0001.webm,idle
video65_0002.webm,raid
video65_0003.webm,tackle
video65_0004.webm,bonus
