filename	match_id	clip_number	duration_sec	resolution	fps
video10_0000.webm	10	0	20	1920x1080	30
video10_0001.webm	10	1	20	1920x1080	30
video10_0002.webm	10	2	20	1920x1080	30
video10_0003.webm	10	3	20	1920x1080	30
video10_0004.webm	10	4	20	1920x1080	30
video10_0005.webm	10	5	20	1920x1080	30
video10_0006.webm	10	6	20	1920x1080	30
video10_0007.webm	10	7	20	1920x1080	30
video10_0008.webm	10	8	20	1920x1080	30
video10_0009.webm	10	9	20	1920x1080	30
video10_0010.webm	10	10	20	1920x1080	30
video10_0011.webm	10	11	20	1920x1080	30
video10_0012.webm	10	12	20	1920x1080	30
video10_0013.webm	10	13	20	1920x1080	30
video10_0014.webm	10	14	20	1920x1080	30
video10_0015.webm	10	15	20	1920x1080	30
video10_0016.webm	10	16	20	1920x1080	30
video10_0017.webm	10	17	20	1920x1080	30
video10_0018.webm	10	18	20	1920x1080	30
video10_0019.webm	10	19	20	1920x1080	30
video10_0020.webm	10	20	20	1920x1080	30
video10_0021.webm	10	21	20	1920x1080	30
video10_0022.webm	10	22	20	1920x1080	30
video10_0023.webm	10	23	20	1920x1080	30
video10_0024.webm	10	24	20	1920x1080	30
video10_0025.webm	10	25	20	1920x1080	30
video10_0026.webm	10	26	20	1920x1080	30
video10_0027.webm	10	27	20	1920x1080	30
video10_0028.webm	10	28	20	1920x1080	30
video10_0029.webm	10	29	20	1920x1080	30
video10_0030.webm	10	30	20	1920x1080	30
video10_0031.webm	10	31	20	1920x1080	30
video10_0032.webm	10	32	20	1920x1080	30
video10_0033.webm	10	33	20	1920x1080	30
video10_0034.webm	10	34	20	1920x1080	30
video10_0035.webm	10	35	20	1920x1080	30
video10_0036.webm	10	36	20	1920x1080	30
video10_0037.webm	10	37	20	1920x1080	30
video10_0038.webm	10	38	20	1920x1080	30
video10_0039.webm	10	39	20	1920x1080	30
video10_0040.webm	10	40	20	1920x1080	30
video10_0041.webm	10	41	20	1920x1080	30
video10_0042.webm	10	42	20	1920x1080	30
video10_0043.webm	10	43	20	1920x1080	30
video10_0044.webm	10	44	20	1920x1080	30
video10_0045.webm	10	45	20	1920x1080	30
video10_0046.webm	10	46	20	1920x1080	30
video10_0047.webm	10	47	20	1920x1080	30
video10_0048.webm	10	48	20	1920x1080	30
video10_0049.webm	10	49	20	1920x1080	30
video10_0050.webm	10	50	20	1920x1080	30
video10_0051.webm	10	51	20	1920x1080	30
video10_0052.webm	10	52	20	1920x1080	30
video10_0053.webm	10	53	20	1920x1080	30
video10_0054.webm	10	54	20	1920x1080	30
video10_0055.webm	10	55	20	1920x1080	30
video10_0056.webm	10	56	20	1920x1080	30
video10_0057.webm	10	57	20	1920x1080	30
video10_0058.webm	10	58	20	1920x1080	30
video10_0059.webm	10	59	20	1920x1080	30
video10_0060.webm	10	60	20	1920x1080	30
video10_0061.webm	10	61	20	1920x1080	30
video10_0062.webm	10	62	20	1920x1080	30
video10_0063.webm	10	63	20	1920x1080	30
video10_0064.webm	10	64	20	1920x1080	30
video10_0065.webm	10	65	20	1920x1080	30
video10_0066.webm	10	66	20	1920x1080	30
video10_0067.webm	10	67	20	1920x1080	30
video10_0068.webm	10	68	20	1920x1080	30
video10_0069.webm	10	69	20	1920x1080	30
video10_0070.webm	10	70	20	1920x1080	30
video10_0071.webm	10	71	20	1920x1080	30
video10_0072.webm	10	72	20	1920x1080	30
video10_0073.webm	10	73	20	1920x1080	30
video10_0074.webm	10	74	20	1920x1080	30
video10_0075.webm	10	75	20	1920x1080	30
video10_0076.webm	10	76	20	1920x1080	30
video10_0077.webm	10	77	20	1920x1080	30
video10_0078.webm	10	78	20	1920x1080	30
video10_0079.webm	10	79	20	1920x1080	30
video10_0080.webm	10	80	20	1920x1080	30
video10_0081.webm	10	81	20	1920x1080	30
video10_0082.webm	10	82	20	1920x1080	30
video10_0083.webm	10	83	20	1920x1080	30
video10_0084.webm	10	84	20	1920x1080	30
video10_0085.webm	10	85	20	1920x1080	30
video10_0086.webm	10	86	20	1920x1080	30
video10_0087.webm	10	87	20	1920x1080	30
video10_0088.webm	10	88	20	1920x1080	30
video10_0089.webm	10	89	20	1920x1080	30
video10_0090.webm	10	90	20	1920x1080	30
video10_0091.webm	10	91	20	1920x1080	30
video10_0092.webm	10	92	20	1920x1080	30
video10_0093.webm	10	93	20	1920x1080	30
video10_0094.webm	10	94	20	1920x1080	30
video10_0095.webm	10	95	20	1920x1080	30
video10_0096.webm	10	96	20	1920x1080	30
video10_0097.webm	10	97	20	1920x1080	30
video10_0098.webm	10	98	20	1920x1080	30
video10_0099.webm	10	99	20	1920x1080	30
